717,5174,3978
395320,6719,5174,3980
395321,6718,5178,3975
395322,6717,5176,3974
395323,6719,5177,3983
395324,6721,5174,3975
395325,6721,5175,3977
395326,6720,5175,3981
395327,6721,5174,3978
395328,6721,5172,3981
395329,6718,5173,3982
395330,6719,5175,3981
395331,6719,5176,3972
395332,6718,5173,3975
395333,6721,5177,3974
395334,6721,5175,3975
395335,6718,5173,3978
395336,6718,5175,3978
395337,6718,5175,3981
395338,6719,5174,3977
395339,6720,5173,3977
395340,6718,5174,3982
395341,6720,5176,3976
395342,6721,5178,3976
395343,6719,5175,3974
395344,6718,5176,3981
395345,6721,5175,3983
395346,6720,5174,3981
3953442345,6719,5173,3980
442346,6719,5176,3980
442347,6720,5176,3976
442348,6719,5175,3977
442349,6723,5177,3976
442350,6719,5175,3978
442351,6718,5176,3976
442352,6718,5177,3979
442353,6721,5175,3974
442354,6721,5176,3980
442355,6719,5176,3981
442356,6718,5168,3979
442357,6718,5176,3976
442358,6724,5173,3977
442359,6719,5175,3977
442360,6717,5177,3981
442361,6720,5176,3977
442362,6721,5180,3972
442363,6718,5177,3978
442364,6718,5177,3971
442365,6718,5174,3982
442366,6723,5178,3974
442367,6723,5169,3975
442368,6720,5176,3978
442369,6719,5176,3983
442370,6717,5171,3973
442371,6727,5177,3976
442372,6720,5174,3980
442373,6721,5178,3983
442374,6717,5180,3980
442375,6719,5176,3981
442376,6723,5176,3977
442377,6720,5177,3979
442378,6718,5177,3973
442379,6720,5175,3974
442380,6721,5177,3973
442381,6718,5167,3974
442382,6725,5175,3975
442383,6718,5175,3978
442384,6718,5176,3978
442385,6720,5171,3980
442386,6722,5175,3974
442387,6724,5177,3975
442388,6717,5176,3978
442389,6719,5176,3969
442390,6719,5178,3979
442391,6715,5178,3981
442392,6718,5172,3975
442393,6720,5176,3973
442394,6720,5168,3974
442395,6720,5172,3975
442396,6720,5175,3977
442397,6720,5177,3980
442398,6721,5174,3980
442399,6719,5175,3973
442400,6718,5178,3979
442401,6721,5178,3982
442402,6716,5175,3976
442403,6719,5171,3975
442404,6718,5177,3983
442405,6720,5177,3978
442406,6716,5167,3979
442407,6721,5176,3978
442408,6719,5175,3979
442409,6715,5176,3972
442410,6720,5174,3980
442411,6718,5177,3974
442412,6717,5177,3978
442413,6718,5174,3979
442414,6718,5176,3980
442415,6717,5170,3989
442416,6719,5174,3975
442417,6720,5177,3968
442418,6715,5179,3979
442419,6718,5178,3984
442420,6717,5171,3979
442421,6719,5176,3979
442422,6717,5177,3979
442423,6719,5177,3977
442424,6720,5174,3983
442425,6717,5181,3984
442426,6721,5178,3973
442427,6720,5174,3977
442428,6721,5176,3972
442429,6717,5177,3977
442430,6719,5176,3977
442431,6721,5170,3976
442432,6719,5177,3980
442433,6721,5173,3980
442434,6710,5169,3974
442435,6722,5177,3979
442436,6718,5176,3978
442437,6718,5177,3975
442438,6719,5175,3978
442439,6722,5181,3975
442440,6723,5176,3978
442441,6720,5179,3976
442442,6723,5176,3965
442443,6720,5174,3979
442444,6720,5174,3978
442445,6724,5169,3976
442446,6718,5175,3980
442447,6718,5174,3979
442448,6720,5176,3979
442449,6718,5175,3979
442450,6719,5178,3978
442451,6720,5176,3981
442452,6719,5175,3979
442453,6721,5176,3975
442454,6718,5174,3982
442455,6719,5177,3975
442456,6719,5169,3979
442457,6718,5177,3977
442458,6723,5178,3978
442459,6720,5166,3974
442460,6718,5174,3978
442461,6718,5179,3977
442462,6720,5177,3976
442463,6721,5169,3977
442464,6719,5176,3975
442465,6721,5177,3979
442466,6717,5173,3972
442467,6718,5174,3972
442468,6721,5176,3978
442469,6718,5176,3980
442470,6719,5167,3978
442471,6718,5178,3977
442472,6717,5175,3978
442473,6720,5177,3975
442474,6720,5177,3980
442475,6716,5180,3974
442476,6715,5176,3974
442477,6718,5173,3978
442478,6719,5176,3981
442479,6716,5177,3978
442480,6720,5176,3977
442481,6720,5179,3977
442482,6718,5173,3983
442483,6723,5178,3974
442484,6718,5169,3973
442485,6719,5174,3979
442486,6719,5175,3964
442487,6719,5172,3977
442488,6720,5174,3979
442489,6720,5176,3976
442490,6719,5177,3976
442491,6716,5173,3976
442492,6720,5175,3969
442493,6721,5175,3981
442494,6721,5172,3976
442495,6715,5174,3981
442496,6718,5174,3978
442497,6722,5174,3982
442498,6720,5171,3980
442499,6718,5178,3980
442500,6720,5176,3978
442501,6717,5176,3977
442502,6720,5175,3979
442503,6781,5178,4039
442504,6719,5176,3988
442505,6721,5173,3978
442506,6718,5176,3973
442507,6720,5175,3977
442508,6718,5175,3977
442509,6718,5172,3980
442510,6718,5176,3980
442511,6718,5176,3982
442512,6718,5178,3980
442513,6711,5174,3980
442514,6717,5179,3979
442515,6721,5177,3985
442516,6726,5175,3979
442517,6723,5177,3966
442518,6720,5175,3979
442519,6718,5177,3976
442520,6716,5170,3978
442521,6718,5172,3978
442522,6717,5175,3976
442523,6720,5164,3972
442524,6719,5177,3984
442525,6716,5177,3982
442526,6722,5175,3984
442527,6717,5179,3979
442528,6717,5176,3979
442529,6717,5176,3978
442530,6721,5173,3982
442531,6719,5177,3974
442532,6720,5173,3977
442533,6717,5176,3979
442534,6716,5170,3984
442535,6721,5177,3977
442536,6717,5172,3973
442537,6719,5178,3977
442538,6720,5175,3978
442539,6721,5176,3978
442540,6722,5177,3978
442541,6718,5176,3977
442542,6719,5177,3973
442543,6708,5188,4282
442544,6718,5179,3987
442545,6722,5178,3972
442546,6717,5178,3981
442547,6717,5174,3980
442548,6718,5172,3976
442549,6722,5176,3978
442550,6721,5177,3982
442551,6718,5175,3979
442552,6720,5174,3980
442553,6722,5178,3975
442554,6718,5178,3981
442555,6722,5168,3978
442556,6718,5174,3969
442557,6718,5173,3975
442558,6722,5180,3979
442559,6715,5169,3978
442560,6717,5176,3980
442561,6718,5175,3982
442562,6721,5172,3977
442563,6721,5172,3975
442564,6717,5175,3981
442565,6723,5177,3986
442566,6717,5175,3973
442567,6719,5179,3981
442568,6719,5175,3976
442569,6718,5178,3981
442570,6721,5174,3972
442571,6716,5172,3977
442572,6721,5179,3983
442573,6715,5169,3977
442574,6719,5176,3983
442575,6719,5176,3979
442576,6720,5177,3973
442577,6719,5177,3974
442578,6719,5173,3977
442579,6722,5176,3977
442580,6720,5177,3975
442581,6719,5175,3970
442582,6724,5175,3975
442583,6714,5163,5517
442584,6717,5170,3964
442585,6718,5176,3975
442586,6721,5179,3983
442587,6721,5170,3977
442588,6722,5179,3978
442589,6717,5174,3978
442590,6717,5176,3976
442591,6720,5177,3979
442592,6723,5173,3977
442593,6725,5177,3977
442594,6715,5174,3980
442595,6721,5173,3965
442596,6717,5177,3973
442597,6721,5177,3980
442598,6718,5174,3977
442599,6722,5175,3979
442600,6717,5176,3980
442601,6719,5174,3976
442602,6721,5179,3982
442603,6666,5150,4758
442604,6722,5175,4018
442605,6720,5173,3972
442606,6721,5182,3965
442607,6719,5179,3979
442608,6719,5177,3980
442609,6721,5172,3971
442610,6717,5174,3977
442611,6719,5176,3978
442612,6715,5172,3980
442613,6718,5176,3971
442614,6715,5174,3977
442615,6719,5176,3978
442616,6718,5175,3977
442617,6717,5175,3977
442618,6718,5173,3977
442619,6720,5177,3973
442620,6720,5174,3971
442621,6715,5177,3981
442622,6719,5174,3976
442623,6723,5198,4392
442624,6714,5175,3965
442625,6719,5178,3975
442626,6718,5172,3979
442627,6720,5176,3979
442628,6716,5174,3979
442629,6716,5177,3978
442630,6720,5175,3979
442631,6718,5173,3977
442632,6723,5175,3976
442633,6723,5176,3981
442634,6718,5175,3973
442635,6723,5179,3972
442636,6719,5176,3979
442637,6717,5170,3979
442638,6719,5172,3981
442639,6720,5175,3980
442640,6718,5176,3982
442641,6722,5177,3980
442642,6716,5174,3975
442643,6728,5170,2370
442644,6718,5175,3944
442645,6720,5173,3972
442646,6719,5175,3981
442647,6721,5173,3980
442648,6718,5170,3978
442649,6716,5175,3981
442650,6719,5177,3977
442651,6719,5164,3975
442652,6718,5173,3979
442653,6718,5177,3979
442654,6715,5173,3977
442655,6717,5175,3977
442656,6718,5176,3979
442657,6720,5174,3982
442658,6718,5175,3977
442659,6718,5175,3974
442660,6716,5176,3977
442661,6719,5173,3982
442662,6711,5171,3979
442663,6719,5174,3987
442664,6723,5173,3983
442665,6716,5173,3977
442666,6718,5173,3982
442667,6719,5177,3972
442668,6716,5174,3975
442669,6721,5173,3983
442670,6717,5173,3978
442671,6717,5178,3985
442672,6719,5177,3980
442673,6718,5179,3975
442674,6715,5177,3981
442675,6716,5173,3982
442676,6716,5168,3971
442677,6719,5174,3983
442678,6719,5175,3981
442679,6721,5174,3980
442680,6717,5173,3975
442681,6717,5176,3979
442682,6722,5177,3972
442683,6700,5178,3968
442684,6717,5177,3980
442685,6719,5176,3972
442686,6719,5175,3977
442687,6714,5171,3981
442688,6721,5174,3978
442689,6716,5174,3976
442690,6716,5171,3973
442691,6720,5170,3978
442692,6718,5174,3976
442693,6718,5176,3977
442694,6716,5176,3979
442695,6719,5173,3978
442696,6718,5170,3982
442697,6720,5180,3982
442698,6716,5177,3972
442699,6717,5174,3979
442700,6714,5174,3983
442701,6717,5166,3975
442702,6720,5174,3979
442703,6705,5142,4546
442704,6720,5173,3959
442705,6715,5175,3986
442706,6721,5175,3979
442707,6719,5173,3975
442708,6719,5176,3977
442709,6717,5174,3976
442710,6720,5171,3979
442711,6721,5173,3978
442712,6719,5175,3982
442713,6721,5174,3981
442714,6721,5174,3977
442715,6724,5169,3978
442716,6715,5176,3979
442717,6719,5172,3984
442718,6721,5174,3980
442719,6719,5176,3977
442720,6718,5174,3979
442721,6719,5176,3979
442722,6718,5175,3982
442723,6709,5169,4972
442724,6716,5180,3986
442725,6719,5173,3976
442726,6716,5171,3974
442727,6720,5176,3976
442728,6718,5175,3976
442729,6718,5175,3979
442730,6718,5172,3979
442731,6722,5172,3976
442732,6720,5173,3978
442733,6718,5177,3972
442734,6719,5181,3974
442735,6717,5175,3981
442736,6721,5177,3972
442737,6717,5175,3973
442738,6716,5175,3979
442739,6720,5174,3979
442740,6714,5171,3979
442741,6722,5177,3981
442742,6717,5171,3976
442743,6727,5163,3500
442744,6717,5174,3985
442745,6715,5175,3975
442746,6720,5177,3977
442747,6719,5178,3983
442748,6721,5172,3973
442749,6722,5175,3978
442750,6719,5175,3980
442751,6723,5170,3979
442752,6717,5176,3980
442753,6720,5175,3978
442754,6716,5172,3982
442755,6719,5177,3974
442756,6717,5176,3982
442757,6718,5180,3987
442758,6719,5174,3977
442759,6720,5176,3977
442760,6720,5175,3977
442761,6716,5173,3980
442762,6720,5173,3975
442763,6726,5157,3776
442764,6721,5174,4007
442765,6716,5178,3972
442766,6721,5177,3980
442767,6718,5176,3986
442768,6718,5173,3980
442769,6720,5175,3980
442770,6717,5174,3981
442771,6718,5176,3977
442772,6719,5174,3981
442773,6719,5179,3973
442774,6718,5175,3976
442775,6719,5176,3981
442776,6718,5169,3981
442777,6721,5177,3985
442778,6718,5176,3977
442779,6721,5169,3974
442780,6718,5177,3976
442781,6720,5178,3976
442782,6718,5173,3977
442783,6721,5188,5500
442784,6716,5175,3986
442785,6718,5175,3983
442786,6720,5175,3965
442787,6719,5173,3979
442788,6720,5175,3981
442789,6717,5172,3975
442790,6714,5177,3976
442791,6718,5177,3981
442792,6721,5175,3974
442793,6718,5177,3976
442794,6715,5172,3977
442795,6720,5177,3971
442796,6720,5173,3980
442797,6720,5175,3978
442798,6719,5176,3976
442799,6719,5175,3980
442800,6722,5173,3980
442801,6721,5173,3971
442802,6721,5173,3984
442803,6762,5189,4389
442804,6716,5172,3997
442805,6720,5171,3975
442806,6719,5175,3983
442807,6720,5175,3982
442808,6716,5175,3980
442809,6722,5174,3976
442810,6724,5174,3981
442811,6722,5175,3975
442812,6719,5173,3983
442813,6718,5173,3977
442814,6718,5177,3984
442815,6716,5172,3981
442816,6719,5178,3980
442817,6719,5174,3976
442818,6714,5169,3980
442819,6720,5174,3979
442820,6720,5176,3980
442821,6717,5176,3977
442822,6719,5174,3979
442823,6734,5181,3288
442824,6719,5174,3994
442825,6722,5176,3975
442826,6719,5171,3975
442827,6718,5175,3976
442828,6722,5175,3979
442829,6719,5171,3976
442830,6718,5177,3981
442831,6719,5174,3978
442832,6719,5173,3979
442833,6724,5177,3980
442834,6719,5179,3977
442835,6720,5177,3983
442836,6711,5175,3977
442837,6720,5175,3975
442838,6719,5176,3977
442839,6718,5175,3977
442840,6719,5172,3979
442841,6723,5173,3981
442842,6718,5178,3979
442843,6725,5168,3982
442844,6718,5180,3975
442845,6720,5169,3982
442846,6717,5175,3985
442847,6720,5174,3976
442848,6718,5176,3977
442849,6721,5175,3976
442850,6719,5174,3977
442851,6719,5170,3969
442852,6718,5175,3979
442853,6719,5174,3974
442854,6714,5171,3981
442855,6715,5170,3979
442856,6720,5175,3979
442857,6718,5173,3977
442858,6720,5175,3979
442859,6722,5174,3977
442860,6720,5172,3977
442861,6721,5176,3980
442862,6717,5174,3978
442863,6719,5181,3322
442864,6719,5173,3991
442865,6715,5173,3972
442866,6719,5176,3978
442867,6721,5173,3982
442868,6713,5168,3979
442869,6720,5174,3975
442870,6721,5176,3980
442871,6719,5175,3979
442872,6717,5174,3974
442873,6720,5171,3975
442874,6718,5177,3979
442875,6722,5175,3977
442876,6716,5172,3977
442877,6717,5176,3974
442878,6723,5176,3979
442879,6717,5171,3985
442880,6721,5174,3976
442881,6714,5175,3976
442882,6716,5173,3984
442883,6722,5174,3728
442884,6717,5176,3986
442885,6721,5178,3976
442886,6723,5172,3970
442887,6720,5176,3981
442888,6720,5174,3978
442889,6721,5175,3977
442890,6715,5171,3973
442891,6718,5175,3975
442892,6720,5172,3980
442893,6713,5171,3980
442894,6717,5176,3977
442895,6718,5173,3977
442896,6718,5174,3977
442897,6719,5173,3984
442898,6720,5175,3980
442899,6720,5174,3981
442900,6718,5175,3980
442901,6719,5174,3967
442902,6722,5172,3981
442903,6694,5166,4462
442904,6712,5167,3990
442905,6725,5173,3977
442906,6715,5178,3976
442907,6720,5171,3978
