3,5177,3969
286379,6722,5175,3980
286380,6719,5175,3977
286381,6719,5175,3980
286382,6718,5176,3979
286383,6719,5174,3977
286384,6721,5174,3980
286385,6720,5174,3976
286386,6719,5174,3978
286387,6719,5174,3975
286388,6719,5176,3902
286389,6720,5177,3977
286390,6719,5175,3979
286391,6722,5174,3967
286392,6722,5172,3977
286393,6719,5175,3979
286394,6720,5176,3981
286395,6719,5173,3980
286396,6720,5175,3978
286397,6720,5176,3976
286398,6717,5176,3970
286399,6723,5175,3976
286400,6713,5174,3978
286401,6723,5177,3974
286402,6720,5174,3977
286403,6720,5175,3980
286404,6723,5175,3981
286405,6719,5177,3976
286406335382,6719,5177,3978
335383,6721,5175,3974
335384,6716,5175,3973
335385,6720,5179,3981
335386,6723,5176,3979
335387,6722,5177,3975
335388,6720,5173,3974
335389,6721,5175,3975
335390,6719,5174,3974
335391,6719,5173,3978
335392,6719,5178,3979
335393,6720,5169,3977
335394,6719,5165,3870
335395,6718,5175,3973
335396,6720,5176,3983
335397,6718,5179,3978
335398,6721,5177,3984
335399,6719,5175,3979
335400,6720,5177,3977
335401,6719,5179,3971
335402,6721,5178,3977
335403,6718,5176,3984
335404,6720,5174,3973
335405,6718,5178,3979
335406,6718,5177,3980
335407,6719,5170,3973
335408,6719,5175,3975
335409,6722,5177,3979
335410,6720,5174,3978
335411,6722,5174,3977
335412,6720,5175,3977
335413,6718,5171,3976
335414,6727,5169,3731
335415,6721,5176,3975
335416,6719,5176,3980
335417,6719,5178,3979
335418,6715,5175,3985
335419,6718,5172,3977
335420,6719,5175,3975
335421,6721,5174,3979
335422,6720,5175,3978
335423,6718,5176,3974
335424,6723,5175,3980
335425,6721,5179,3981
335426,6715,5176,3973
335427,6717,5172,3973
335428,6719,5178,3979
335429,6718,5169,3982
335430,6720,5177,3980
335431,6719,5180,3982
335432,6717,5167,3981
335433,6719,5175,3979
335434,6721,5188,4705
335435,6721,5177,4009
335436,6720,5177,3974
335437,6717,5177,3979
335438,6718,5177,3978
335439,6722,5178,3977
335440,6715,5176,3971
335441,6718,5178,3980
335442,6720,5174,3982
335443,6717,5173,3983
335444,6718,5175,3975
335445,6720,5178,3977
335446,6718,5179,3982
335447,6720,5176,3978
335448,6720,5178,3980
335449,6719,5175,3982
335450,6718,5176,3982
335451,6722,5174,3982
335452,6722,5176,3982
335453,6718,5175,3972
335454,6719,5175,3968
335455,6718,5181,3980
335456,6721,5175,3978
335457,6717,5168,3979
335458,6720,5175,3983
335459,6721,5177,3979
335460,6718,5174,3984
335461,6717,5176,3977
335462,6721,5173,3981
335463,6721,5174,3981
335464,6720,5174,3975
335465,6720,5174,3969
335466,6717,5178,3981
335467,6721,5178,3974
335468,6719,5175,3976
335469,6719,5176,3983
335470,6720,5176,3979
335471,6719,5174,3976
335472,6723,5176,3977
335473,6716,5176,3983
335474,6726,5180,3632
335475,6718,5174,4006
335476,6721,5177,3979
335477,6720,5177,3982
335478,6716,5181,3980
335479,6718,5176,3975
335480,6720,5175,3976
335481,6719,5176,3978
335482,6720,5171,3979
335483,6720,5177,3980
335484,6721,5175,3977
335485,6723,5175,3981
335486,6720,5173,3977
335487,6720,5176,3979
335488,6721,5176,3976
335489,6722,5174,3976
335490,6719,5175,3975
335491,6721,5175,3979
335492,6719,5178,3979
335493,6717,5174,3979
335494,6732,5180,4288
335495,6719,5180,3990
335496,6717,5174,3980
335497,6723,5173,3974
335498,6716,5177,3978
335499,6719,5177,3981
335500,6719,5177,3977
335501,6722,5179,3978
335502,6722,5176,3975
335503,6718,5174,3981
335504,6723,5170,3968
335505,6718,5176,3983
335506,6720,5178,3985
335507,6720,5172,3983
335508,6720,5176,3977
335509,6722,5176,3979
335510,6718,5174,3982
335511,6723,5174,3977
335512,6719,5180,3980
335513,6719,5176,3981
335514,6731,5184,3337
335515,6720,5171,3993
335516,6719,5176,3978
335517,6720,5175,3978
335518,6724,5174,3970
335519,6722,5174,3982
335520,6717,5177,3977
335521,6713,5171,3981
335522,6719,5175,3980
335523,6719,5177,3980
335524,6722,5172,3978
335525,6721,5177,3979
335526,6720,5175,3976
335527,6721,5178,3981
335528,6716,5177,3977
335529,6718,5170,3972
335530,6717,5174,3980
335531,6719,5177,3979
335532,6719,5174,3978
335533,6722,5174,3980
335534,6708,5170,3111
335535,6714,5168,4005
335536,6719,5174,3980
335537,6723,5174,3979
335538,6720,5176,3979
335539,6717,5178,3980
335540,6723,5176,3984
335541,6721,5176,3982
335542,6719,5175,3982
335543,6716,5173,3973
335544,6718,5175,3982
335545,6720,5172,3979
335546,6715,5168,3972
335547,6717,5176,3987
335548,6717,5175,3975
335549,6720,5174,3979
335550,6720,5172,3976
335551,6723,5178,3974
335552,6718,5176,3978
335553,6719,5174,3982
335554,6726,5186,3920
335555,6718,5179,4023
335556,6721,5177,3972
335557,6717,5169,3979
335558,6719,5178,3979
335559,6717,5174,3980
335560,6715,5173,3978
335561,6721,5176,3988
335562,6722,5179,3979
335563,6722,5175,3978
335564,6717,5173,3978
335565,6716,5177,3976
335566,6721,5173,3977
335567,6717,5179,3983
335568,6717,5174,3975
335569,6720,5175,3978
335570,6723,5176,3980
335571,6716,5168,3977
335572,6723,5178,3982
335573,6716,5176,3984
335574,6717,5184,4182
335575,6716,5173,3981
335576,6723,5175,3973
335577,6724,5172,3982
335578,6716,5175,3987
335579,6720,5176,3980
335580,6718,5177,3982
335581,6724,5176,3979
335582,6717,5176,3977
335583,6716,5176,3982
335584,6720,5176,3977
335585,6717,5167,3982
335586,6719,5177,3979
335587,6717,5173,3976
335588,6719,5174,3978
335589,6719,5174,3981
335590,6718,5177,3977
335591,6719,5180,3979
335592,6725,5173,3977
335593,6721,5174,3968
335594,6714,5168,3441
335595,6719,5174,3980
335596,6714,5171,3971
335597,6716,5170,3983
335598,6718,5176,4032
335599,6714,5173,3980
335600,6720,5172,3977
335601,6719,5175,3976
335602,6718,5177,3981
335603,6718,5174,3980
335604,6721,5177,3974
335605,6719,5175,3978
335606,6720,5172,3975
335607,6721,5175,3976
335608,6717,5174,3976
335609,6718,5176,3981
335610,6716,5173,3977
335611,6722,5175,3980
335612,6718,5180,3979
335613,6719,5174,3979
335614,6730,5158,4137
335615,6724,5177,3962
335616,6718,5178,3980
335617,6708,5175,3976
335618,6724,5173,3964
335619,6719,5174,3980
335620,6716,5172,3978
335621,6717,5170,3979
335622,6717,5174,3981
335623,6717,5174,3982
335624,6717,5172,3978
335625,6720,5181,3975
335626,6719,5173,3977
335627,6718,5174,3977
335628,6718,5172,3981
335629,6719,5177,3978
335630,6719,5175,3981
335631,6720,5176,3982
335632,6719,5173,3977
335633,6717,5173,3981
335634,6705,5171,4316
335635,6720,5174,3979
335636,6721,5174,3979
335637,6717,5173,3981
335638,6721,5176,3980
335639,6720,5173,3980
335640,6717,5174,3978
335641,6720,5176,3978
335642,6718,5174,3979
335643,6720,5174,3974
335644,6718,5178,3977
335645,6722,5174,3976
335646,6723,5174,3972
335647,6719,5174,3976
335648,6719,5175,3980
335649,6716,5172,3981
335650,6719,5169,3981
335651,6720,5173,3979
335652,6720,5176,3979
335653,6717,5174,3977
335654,6720,5175,3978
335655,6720,5180,3976
335656,6719,5175,3980
335657,6718,5171,3973
335658,6718,5175,3985
335659,6718,5174,3978
335660,6718,5171,3980
335661,6718,5174,3976
335662,6718,5176,3974
335663,6719,5170,3981
335664,6728,5173,3982
335665,6715,5173,3981
335666,6717,5173,3977
335667,6718,5178,3980
335668,6719,5173,3981
335669,6720,5177,3980
335670,6718,5173,3977
335671,6719,5173,3973
335672,6718,5173,3981
335673,6720,5177,3981
335674,6711,5168,3990
335675,6719,5174,3980
335676,6719,5178,3975
335677,6717,5173,3974
335678,6716,5173,3985
335679,6720,5173,3973
335680,6717,5174,3976
335681,6716,5175,3980
335682,6720,5170,3970
335683,6721,5172,3979
335684,6719,5174,3982
335685,6716,5169,3983
335686,6718,5175,3980
335687,6721,5173,3979
335688,6718,5173,3977
335689,6719,5174,3976
335690,6718,5175,3984
335691,6721,5177,3976
335692,6718,5174,3977
335693,6717,5175,3980
335694,6729,5170,4306
335695,6721,5175,3985
335696,6723,5175,3977
335697,6719,5172,3981
335698,6718,5176,3983
335699,6716,5172,3981
335700,6721,5175,3984
335701,6720,5176,3980
335702,6721,5177,3976
335703,6721,5177,3974
335704,6723,5178,3977
335705,6717,5174,3986
335706,6719,5180,3976
335707,6717,5176,3977
335708,6720,5172,3979
335709,6720,5175,3977
335710,6720,5170,3974
335711,6721,5177,3976
335712,6718,5176,3983
335713,6715,5176,3989
335714,6721,5194,4496
335715,6721,5176,3965
335716,6717,5175,3981
335717,6719,5179,3974
335718,6719,5174,3981
335719,6720,5172,3980
335720,6720,5177,3977
335721,6718,5169,3972
335722,6719,5174,3981
335723,6721,5175,3981
335724,6715,5170,3979
335725,6718,5173,3976
335726,6724,5178,3975
335727,6714,5171,3990
335728,6717,5173,3983
335729,6719,5176,3982
335730,6720,5176,3979
335731,6718,5177,3982
335732,6718,5174,3975
335733,6719,5176,3977
335734,6728,5179,3563
335735,6722,5172,3949
335736,6719,5176,3980
335737,6721,5172,3980
335738,6712,5172,3979
335739,6718,5176,3977
335740,6720,5174,3981
335741,6724,5176,3982
335742,6724,5175,3977
335743,6719,5175,3977
335744,6717,5175,3978
335745,6721,5174,3975
335746,6723,5175,3973
335747,6718,5174,3982
335748,6719,5174,3982
335749,6716,5174,3980
335750,6721,5173,3977
335751,6718,5177,3979
335752,6713,5173,3982
335753,6720,5174,3984
335754,6729,5179,3520
335755,6720,5175,4003
335756,6718,5175,3977
335757,6720,5174,3977
335758,6721,5178,3984
335759,6719,5177,3975
335760,6721,5172,3971
335761,6719,5179,3979
335762,6719,5177,3978
335763,6717,5174,3978
335764,6714,5180,3975
335765,6725,5177,3976
335766,6721,5179,3978
335767,6719,5174,3978
335768,6720,5174,3979
335769,6721,5176,3979
335770,6721,5175,3982
335771,6718,5173,3979
335772,6718,5174,3981
335773,6722,5174,3976
335774,6717,5166,4689
335775,6722,5181,3998
335776,6720,5172,3973
335777,6713,5173,3981
335778,6719,5176,3976
335779,6720,5173,3981
335780,6717,5177,3977
335781,6720,5173,3978
335782,6718,5177,3978
335783,6717,5176,3985
335784,6720,5176,3983
335785,6722,5175,3972
335786,6725,5173,3976
335787,6720,5177,3983
335788,6711,5168,3981
335789,6718,5175,3978
335790,6720,5175,3977
335791,6719,5176,3979
335792,6720,5173,3979
335793,6723,5174,3978
335794,6721,5174,3604
335795,6715,5177,4018
335796,6721,5175,3967
335797,6726,5177,3980
335798,6717,5174,3987
335799,6720,5174,3972
335800,6718,5174,3977
335801,6721,5176,3978
335802,6717,5173,3980
335803,6720,5176,3978
335804,6718,5173,3974
335805,6723,5175,3975
335806,6720,5172,3979
335807,6720,5177,3980
335808,6719,5171,3977
335809,6718,5176,3982
335810,6720,5174,3971
335811,6722,5175,3977
335812,6721,5176,3978
335813,6713,5170,3981
335814,6696,5174,3952
335815,6717,5176,3951
335816,6709,5170,3971
335817,6721,5174,3979
335818,6716,5176,3982
335819,6721,5172,3979
335820,6720,5176,3980
335821,6719,5175,3977
335822,6719,5175,3982
335823,6717,5173,3977
335824,6722,5169,3977
335825,6719,5177,3979
335826,6719,5177,3978
335827,6711,5171,3983
335828,6725,5179,3976
335829,6717,5176,3980
335830,6717,5174,3974
335831,6720,5173,3977
335832,6718,5175,3980
