720,5165,3971
504658,6720,5159,3981
504659,6721,5159,3981
504660,6718,5158,3977
504661,6720,5160,3977
504662,6719,5160,3981
504663,6721,5161,3981
504664,6722,5159,3975
504665,6719,5161,3975
504666,6723,5162,3978
504667,6721,5160,3976
504668,6719,5160,3983
504669,6718,5159,3979
504670,6719,5158,3982
504671,6720,5160,3976
504672,6717,5160,3984
504673,6721,5159,3978
504674,6720,5158,3973
504675,6719,5158,3976
504676,6719,5161,3979
504677,6721,5160,3978
504678,6719,5159,3977
504679,6720,5161,3981
504680,6717,5161,3975
504681,6720,5160,3977
504682,6720,5160,3975
504683,6718,5158,3982
504684,6720,5159,3978
5046636697,1810,5169,3976
636698,1837,5174,3976
636699,1817,5171,3981
636700,1824,5171,3969
636701,1820,5170,3971
636702,1820,5173,3971
636703,1822,5173,3977
636704,1819,5172,3980
636705,1819,5165,3971
636706,1818,5172,3974
636707,1819,5170,3977
636708,1819,5166,3977
636709,1819,5170,3973
636710,1820,5174,3976
636711,1819,5171,3979
636712,1815,5171,3977
636713,1818,5172,3971
636714,1817,5171,3982
636715,1821,5174,3977
636716,1818,5170,3973
636717,1819,5172,3980
636718,1818,5172,3978
636719,1818,5162,3970
636720,1823,5170,3980
636721,1819,5170,3970
636722,1819,5161,3972
636723,1821,5173,3979
636724,1818,5172,3978
636725,1819,5171,3974
636726,1819,5172,3973
636727,1819,5172,3967
636728,1817,5172,3977
636729,1819,5170,3978
636730,1818,5173,3967
636731,1819,5174,3975
636732,1819,5171,3978
636733,1817,5172,3976
636734,1819,5171,3984
636735,1821,5171,3965
636736,1822,5173,3977
636737,1820,5173,3979
636738,1818,5173,3979
636739,1819,5173,3974
636740,1820,5172,3979
636741,1818,5172,3970
636742,1819,5171,3979
636743,1819,5173,3978
636744,1820,5168,3981
636745,1817,5174,3977
636746,1820,5171,3977
636747,1819,5166,3965
636748,1820,5172,3976
636749,1819,5172,3981
636750,1819,5172,3976
636751,1820,5177,3981
636752,1822,5172,3971
636753,1820,5172,3969
636754,1818,5168,3975
636755,1819,5173,3967
636756,1819,5173,3981
636757,1821,5170,3977
636758,1821,5166,3973
636759,1817,5161,3980
636760,1818,5171,3973
636761,1819,5172,3976
636762,1822,5170,3982
636763,1821,5171,3978
636764,1823,5173,3978
636765,1817,5173,3976
636766,1819,5172,3969
636767,1819,5172,3976
636768,1819,5172,3981
636769,1818,5174,3974
636770,1820,5167,3977
636771,1819,5173,3976
636772,1818,5164,3972
636773,1819,5173,3980
636774,1820,5170,3974
636775,1819,5172,3977
636776,1820,5171,3974
636777,1818,5170,3972
636778,1820,5169,3975
636779,1819,5171,3976
636780,1826,5173,3979
636781,1819,5170,3977
636782,1820,5172,3977
636783,1818,5165,3974
636784,1819,5177,3976
636785,1818,5171,3978
636786,1817,5169,3973
636787,1818,5172,3977
636788,1819,5171,3978
636789,1819,5173,3982
636790,1821,5175,3977
636791,1820,5147,3977
636792,1815,5174,3986
636793,1820,5172,3980
636794,1822,5172,3977
636795,1820,5172,3976
636796,1819,5173,3974
636797,1806,5165,3975
636798,1817,5172,3981
636799,1819,5172,3974
636800,1819,5173,3975
636801,1820,5171,3987
636802,1819,5173,3981
636803,1818,5172,3976
636804,1823,5171,3975
636805,1819,5172,3970
636806,1819,5173,3985
636807,1818,5173,3975
636808,1819,5167,3976
636809,1818,5190,3977
636810,1818,5166,3978
636811,1821,5159,3975
636812,1818,5169,3975
636813,1819,5173,3987
636814,1818,5168,3978
636815,1819,5171,3984
636816,1817,5171,3971
636817,1819,5168,3975
636818,1818,5170,3981
636819,1821,5165,3976
636820,1817,5173,3985
636821,1818,5201,3975
636822,1817,5161,3976
636823,1817,5174,3981
636824,1816,5160,3981
